reading_score,writing_score,math_score,male,eth_B,eth_C,eth_D,eth_E,parent_edu_bach_deg,parent_edu_h_sch,parent_edu_mast_deg,parent_edu_some_clg,parent_edu_some_h_sch,lunch_standard,test_prep_none
61,62,61,1,0,1,0,0,0,0,0,1,0,1,1
62,53,53,0,0,1,0,0,0,0,0,0,0,1,1
75,70,67,0,0,1,0,0,0,0,0,1,0,0,0
76,65,79,1,0,1,0,0,0,0,0,0,1,0,1
58,44,53,1,0,0,0,0,0,1,0,0,0,0,1
82,88,97,1,0,0,0,1,0,0,0,0,0,1,0
51,43,59,1,0,0,0,1,0,0,0,1,0,1,1
75,70,71,1,1,0,0,0,0,0,0,1,0,1,0
71,70,59,0,0,1,0,0,0,0,0,1,0,1,1
52,42,53,1,0,0,1,0,0,1,0,0,0,1,1
67,66,61,1,0,1,0,0,0,0,1,0,0,0,1
96,91,91,1,1,0,0,0,0,0,0,1,0,1,0
76,70,52,0,1,0,0,0,0,0,0,0,0,0,1
65,63,65,1,1,0,0,0,0,0,0,0,0,1,0
70,62,52,0,1,0,0,0,0,0,1,0,0,0,0
89,88,70,0,0,1,0,0,0,0,0,1,0,1,0
75,76,81,1,0,0,0,1,0,0,0,0,1,1,0
53,53,49,0,0,1,0,0,0,0,0,0,0,1,1
42,38,39,1,0,0,1,0,1,0,0,0,0,0,0
77,80,57,0,0,1,0,0,0,0,0,0,0,1,0
72,79,51,0,0,1,0,0,1,0,0,0,0,0,0
60,60,50,0,0,1,0,0,0,0,0,0,1,0,0
95,89,82,0,0,0,1,0,0,0,0,0,0,1,1
66,67,59,0,0,1,0,0,0,0,0,0,0,1,1
68,73,57,0,0,0,0,1,0,0,0,0,0,0,0
49,45,38,0,0,0,0,1,0,0,0,0,1,0,1
78,75,88,1,0,0,1,0,0,1,0,0,0,1,1
92,87,86,0,0,1,0,0,1,0,0,0,0,1,1
80,82,73,0,0,1,0,0,0,0,0,1,0,1,1
93,91,97,1,0,1,0,0,0,0,0,0,0,1,1
89,86,79,0,0,0,1,0,0,0,0,1,0,0,1
81,79,72,0,1,0,0,0,0,0,0,0,1,0,1
85,82,76,0,1,0,0,0,0,1,0,0,0,0,0
68,69,77,1,0,0,1,0,0,0,0,0,1,1,0
94,87,76,0,1,0,0,0,0,0,0,0,0,0,0
84,82,85,0,0,1,0,0,0,0,0,0,0,1,1
95,92,84,0,0,0,0,1,0,0,0,0,0,1,1
68,72,70,1,0,0,0,1,1,0,0,0,0,0,0
58,59,59,0,0,0,1,0,0,0,0,0,1,1,1
67,62,65,0,0,0,1,0,1,0,0,0,0,1,1
72,68,59,0,0,1,0,0,0,1,0,0,0,1,1
39,33,22,0,0,1,0,0,0,0,0,1,0,0,1
82,80,79,1,0,0,1,0,0,0,0,0,0,0,0
83,83,80,0,0,0,0,1,1,0,0,0,0,1,1
46,43,55,1,0,0,0,0,0,0,0,0,1,0,1
79,84,73,0,0,0,1,0,1,0,0,0,0,0,1
83,75,84,1,1,0,0,0,0,0,0,0,1,1,0
67,65,72,1,0,0,0,0,0,1,0,0,0,0,0
77,71,84,1,0,0,0,1,0,0,0,1,0,1,1
55,53,58,1,0,1,0,0,0,0,0,0,0,0,1
81,84,81,1,0,0,1,0,0,0,1,0,0,1,1
65,60,66,1,1,0,0,0,0,0,0,1,0,1,1
59,53,65,1,0,0,0,0,0,0,0,0,1,0,1
67,61,62,1,0,0,1,0,0,0,0,0,1,1,1
64,66,50,0,1,0,0,0,0,0,0,1,0,1,0
75,81,63,0,0,1,0,0,1,0,0,0,0,1,1
57,52,49,0,0,0,1,0,0,1,0,0,0,0,1
62,63,62,0,1,0,0,0,0,1,0,0,0,1,1
85,86,79,1,1,0,0,0,0,0,0,0,1,1,0
61,61,63,1,0,0,0,0,0,0,0,0,0,1,1
65,58,62,1,0,1,0,0,0,0,0,0,0,1,1
84,80,75,0,1,0,0,0,1,0,0,0,0,1,1
97,96,81,0,0,0,1,0,0,0,0,0,1,1,1
71,73,61,1,0,0,1,0,0,0,0,0,0,0,0
64,58,44,0,0,0,0,0,0,0,0,0,1,0,1
65,66,59,1,1,0,0,0,0,0,0,1,0,0,0
78,72,73,1,0,1,0,0,0,0,0,0,0,1,0
64,67,54,0,0,1,0,0,0,0,1,0,0,1,0
86,88,83,0,0,0,0,1,0,0,0,0,0,0,0
95,100,85,0,0,0,1,0,0,0,1,0,0,0,0
78,79,63,0,1,0,0,0,0,0,0,0,1,0,0
80,72,80,1,0,0,1,0,0,0,1,0,0,1,1
44,47,60,1,1,0,0,0,0,1,0,0,0,1,0
78,83,88,1,0,0,1,0,1,0,0,0,0,1,1
70,68,58,0,1,0,0,0,0,1,0,0,0,1,0
52,51,49,1,0,0,0,1,0,0,0,1,0,0,0
82,73,79,1,0,0,0,0,0,0,0,0,1,0,1
90,94,82,0,0,1,0,0,0,0,0,1,0,1,1
64,65,54,0,0,1,0,0,0,0,0,1,0,1,1
57,59,67,1,0,1,0,0,0,0,1,0,0,1,1
70,70,60,0,1,0,0,0,0,0,0,0,1,1,0
86,90,98,1,0,1,0,0,0,0,0,1,0,1,0
66,68,62,1,1,0,0,0,0,0,0,1,0,1,0
49,42,58,1,0,1,0,0,0,0,0,1,0,1,1
66,60,71,1,0,0,1,0,0,0,0,0,0,1,1
89,90,84,1,0,0,1,0,0,0,1,0,0,0,0
66,66,73,1,0,1,0,0,0,0,0,0,1,1,1
90,91,94,1,0,1,0,0,1,0,0,0,0,1,0
62,64,66,1,0,0,1,0,0,0,0,0,0,0,1
78,81,81,1,0,0,0,0,0,0,0,1,0,0,0
84,84,65,0,0,1,0,0,0,0,0,0,0,1,0
54,53,68,1,1,0,0,0,0,0,0,0,1,1,1
60,57,66,1,1,0,0,0,1,0,0,0,0,1,1
80,80,84,1,0,1,0,0,0,0,0,0,0,1,1
76,64,80,1,1,0,0,0,0,0,0,0,0,1,1
58,62,61,0,0,0,0,1,1,0,0,0,0,0,1
82,84,81,1,0,0,1,0,0,0,0,1,0,1,1
99,95,88,0,0,0,0,1,0,0,1,0,0,1,0
42,48,50,1,0,0,1,0,1,0,0,0,0,0,1
71,80,74,1,0,0,1,0,1,0,0,0,0,0,0
90,91,90,0,1,0,0,0,0,0,0,0,0,1,0
59,52,66,1,0,1,0,0,0,0,0,1,0,1,1
64,67,64,1,0,0,1,0,0,1,0,0,0,0,0
66,65,48,0,0,0,0,0,0,0,0,0,1,1,1
64,70,67,1,0,0,1,0,0,0,0,1,0,1,1
59,62,68,1,0,0,1,0,0,0,0,1,0,1,1
74,78,66,0,0,0,0,1,0,1,0,0,0,0,0
72,69,78,1,0,1,0,0,0,0,0,0,1,1,0
56,51,70,1,0,1,0,0,0,1,0,0,0,1,1
74,72,73,1,0,0,0,0,0,0,1,0,0,0,1
67,64,77,1,0,1,0,0,0,0,0,0,0,0,1
75,79,74,0,0,0,1,0,0,0,0,1,0,1,0
72,74,67,0,0,0,1,0,0,1,0,0,0,1,1
78,74,73,0,0,1,0,0,0,0,1,0,0,1,1
56,54,45,0,0,0,0,1,0,0,1,0,0,0,1
76,76,55,0,0,0,1,0,0,0,0,0,0,0,1
63,58,70,1,0,0,1,0,0,0,0,1,0,0,1
56,52,64,1,0,0,0,1,0,0,0,0,0,0,1
32,28,18,0,1,0,0,0,0,0,0,0,1,0,1
72,76,70,0,0,1,0,0,0,0,0,1,0,1,0
81,80,71,0,0,1,0,0,0,0,0,1,0,1,1
63,73,58,0,0,0,1,0,0,0,0,1,0,0,0
45,40,53,1,0,0,0,1,0,0,0,0,0,1,1
89,94,87,0,0,1,0,0,0,0,0,1,0,1,0
70,70,70,1,0,0,1,0,0,1,0,0,0,1,1
59,66,58,0,0,1,0,0,0,0,0,1,0,1,1
92,93,85,0,0,1,0,0,0,0,0,0,1,1,0
87,78,92,1,0,0,0,1,0,0,0,0,1,1,1
90,88,69,0,0,1,0,0,0,0,0,1,0,1,0
100,97,92,0,0,0,0,0,0,0,0,0,1,1,0
81,75,86,1,0,0,0,1,0,1,0,0,0,0,0
63,61,51,0,0,0,1,0,0,0,0,0,1,1,1
49,52,62,1,0,0,1,0,0,0,0,0,1,0,1
74,74,63,0,0,1,0,0,0,0,0,1,0,1,1
99,100,94,0,0,0,0,1,0,0,1,0,0,1,0
72,59,54,1,0,1,0,0,0,1,0,0,0,0,1
74,64,71,1,0,0,0,0,0,1,0,0,0,1,1
48,49,52,1,1,0,0,0,0,1,0,0,0,1,1
79,84,67,0,0,1,0,0,0,1,0,0,0,0,0
64,62,61,0,0,0,0,1,0,0,0,1,0,1,1
24,15,30,1,1,0,0,0,0,1,0,0,0,0,1
73,71,63,0,0,1,0,0,0,0,0,1,0,0,0
85,85,64,0,0,1,0,0,0,0,0,1,0,0,0
78,78,70,0,0,0,1,0,0,0,0,1,0,0,0
47,56,61,1,0,0,1,0,0,0,0,1,0,0,1
69,69,62,0,0,1,0,0,0,0,0,1,0,1,1
51,55,44,0,0,1,0,0,0,0,0,0,1,1,0
57,62,62,1,0,0,1,0,0,0,0,1,0,0,1
85,84,90,1,0,0,0,1,0,0,1,0,0,1,1
70,63,69,1,1,0,0,0,0,0,0,0,0,0,0
84,77,89,1,0,0,0,1,0,0,0,0,1,1,0
67,61,59,0,0,0,1,0,0,0,0,0,1,1,1
28,27,35,1,0,1,0,0,0,0,0,1,0,0,1
95,86,87,0,1,0,0,0,0,1,0,0,0,1,1
72,65,68,1,0,0,0,1,0,0,0,1,0,1,1
83,78,68,0,1,0,0,0,0,1,0,0,0,1,0
60,74,64,0,0,0,1,0,0,0,0,0,1,1,0
59,50,54,1,0,1,0,0,0,0,1,0,0,0,1
83,80,78,1,0,0,0,1,0,0,0,0,1,0,0
79,80,77,0,0,0,0,1,0,0,0,0,1,1,1
84,85,73,0,0,0,1,0,0,0,0,0,1,1,1
64,59,50,0,0,0,1,0,0,0,0,0,1,0,1
81,84,75,0,0,1,0,0,0,0,0,1,0,1,0
65,55,49,0,0,0,0,0,0,0,0,1,0,0,1
77,80,78,1,0,0,1,0,0,1,0,0,0,0,0
70,75,62,0,0,0,1,0,0,0,1,0,0,1,1
86,83,80,0,1,0,0,0,0,0,0,0,0,1,1
87,81,99,1,0,0,0,1,0,0,0,1,0,1,0
76,75,67,0,0,0,0,1,0,0,0,1,0,1,1
80,71,69,0,0,1,0,0,0,0,0,0,0,1,1
57,46,49,1,0,0,1,0,0,0,0,1,0,0,1
68,66,61,0,1,0,0,0,0,0,0,1,0,0,1
75,78,70,0,1,0,0,0,0,0,0,1,0,1,1
67,72,57,0,1,0,0,0,0,0,0,0,1,1,1
63,56,62,1,1,0,0,0,1,0,0,0,0,0,1
95,94,91,0,0,1,0,0,0,0,0,0,0,1,1
58,57,53,0,0,0,0,1,0,0,0,1,0,0,1
82,84,83,1,0,1,0,0,1,0,0,0,0,1,0
73,74,72,1,0,0,0,0,0,1,0,0,0,1,0
54,48,53,1,0,0,1,0,0,0,0,0,0,0,1
63,59,60,1,0,0,1,0,0,0,0,1,0,1,1
73,68,58,0,0,1,0,0,0,0,0,0,0,1,1
54,48,53,1,0,0,0,0,0,0,0,0,1,1,1
53,52,49,1,1,0,0,0,0,0,1,0,0,0,1
52,55,56,0,0,0,1,0,0,1,0,0,0,1,1
77,80,68,0,1,0,0,0,0,0,0,0,0,0,0
70,73,59,0,0,0,1,0,1,0,0,0,0,1,1
91,87,81,0,0,1,0,0,0,0,1,0,0,1,0
49,49,47,1,0,0,0,0,0,0,0,0,1,1,0
79,72,56,0,0,1,0,0,1,0,0,0,0,1,0
78,77,68,0,0,0,1,0,0,0,0,1,0,1,0
74,69,66,1,0,0,1,0,0,1,0,0,0,0,1
90,83,93,1,0,0,0,1,0,0,0,1,0,0,1
73,78,63,0,0,0,1,0,1,0,0,0,0,0,1
73,67,74,1,0,1,0,0,0,0,0,0,0,1,1
41,47,29,0,0,0,1,0,1,0,0,0,0,0,1
78,67,57,0,0,1,0,0,0,0,0,0,0,0,1
100,100,100,0,0,0,0,1,1,0,0,0,0,1,1
78,82,65,0,0,0,1,0,0,0,0,0,1,1,0
55,53,40,1,0,0,0,0,0,0,0,0,0,0,0
67,69,62,1,0,0,0,0,0,0,0,0,1,1,0
64,62,65,0,1,0,0,0,0,1,0,0,0,1,1
64,57,39,0,0,1,0,0,0,0,0,0,0,1,1
75,74,70,1,0,1,0,0,1,0,0,0,0,0,0
95,94,88,0,0,1,0,0,0,0,0,1,0,1,0
72,74,60,0,0,1,0,0,0,0,0,1,0,1,1
59,54,40,0,0,0,1,0,0,0,1,0,0,0,1
72,77,81,1,0,0,1,0,0,0,0,0,0,1,0
68,77,77,0,0,0,1,0,0,0,0,1,0,1,1
72,70,63,0,0,0,0,1,0,0,0,1,0,1,0
91,89,85,0,0,0,1,0,0,0,0,0,0,1,1
74,74,68,1,0,0,1,0,1,0,0,0,0,1,0
62,50,71,1,0,0,0,0,0,0,0,0,1,1,1
67,67,62,0,1,0,0,0,0,0,0,1,0,1,1
75,83,74,0,0,1,0,0,0,0,0,0,0,1,0
43,45,48,1,1,0,0,0,0,0,0,0,0,1,1
61,68,53,0,0,0,1,0,0,0,1,0,0,1,1
59,54,55,1,1,0,0,0,1,0,0,0,0,0,1
62,60,48,0,1,0,0,0,0,1,0,0,0,1,1
85,76,88,1,1,0,0,0,0,0,0,1,0,1,0
72,77,69,0,0,0,1,0,0,1,0,0,0,1,1
80,76,68,0,0,0,0,0,0,1,0,0,0,1,0
100,100,92,0,0,0,1,0,0,0,1,0,0,1,1
76,74,69,0,1,0,0,0,0,1,0,0,0,1,0
86,84,68,0,0,1,0,0,0,0,0,0,0,1,0
53,47,54,1,0,0,0,0,0,0,0,0,0,1,1
44,42,53,1,0,1,0,0,0,0,0,1,0,1,1
48,47,63,1,1,0,0,0,0,1,0,0,0,0,1
68,74,56,0,0,0,1,0,0,1,0,0,0,1,0
58,54,51,0,0,0,1,0,0,0,0,1,0,1,1
34,38,32,0,0,0,0,1,0,0,0,0,1,0,1
61,54,57,1,0,1,0,0,0,0,0,0,1,1,1
71,78,74,1,0,0,1,0,0,0,0,0,1,1,0
50,52,49,1,1,0,0,0,0,0,0,0,1,0,0
64,57,73,1,0,0,0,1,0,1,0,0,0,1,1
93,90,99,0,0,0,0,1,0,1,0,0,0,1,1
80,75,86,1,0,0,1,0,0,0,0,0,1,1,1
63,65,58,0,1,0,0,0,0,0,0,0,0,1,1
66,64,81,1,0,1,0,0,0,1,0,0,0,1,1
73,73,55,0,0,0,0,0,0,1,0,0,0,1,1
66,73,52,0,1,0,0,0,0,0,0,0,0,1,0
67,72,52,0,1,0,0,0,0,0,0,0,1,0,0
100,100,99,0,0,0,0,1,1,0,0,0,0,1,0
80,80,63,0,0,0,1,0,0,0,0,1,0,0,0
70,71,65,0,0,0,1,0,0,0,0,1,0,1,1
86,89,74,0,0,1,0,0,1,0,0,0,0,0,0
74,72,61,0,0,0,1,0,0,0,0,0,1,1,0
95,92,88,0,1,0,0,0,0,0,0,1,0,1,0
54,53,44,1,0,0,1,0,0,0,0,1,0,1,1
65,74,69,0,0,0,1,0,0,0,0,1,0,0,1
54,45,54,1,1,0,0,0,0,0,0,1,0,0,1
74,69,75,1,0,0,1,0,0,0,0,0,1,1,1
63,60,63,1,0,1,0,0,0,0,0,1,0,1,1
81,71,75,1,0,1,0,0,0,1,0,0,0,1,1
68,61,68,1,0,1,0,0,0,0,0,1,0,0,1
51,48,41,0,0,0,0,0,0,0,0,0,0,0,1
76,65,80,1,0,0,0,1,0,1,0,0,0,1,1
93,93,88,0,0,1,0,0,0,0,0,1,0,1,0
84,91,79,0,0,0,1,0,0,0,0,1,0,1,0
100,93,100,1,0,0,0,1,0,0,0,0,0,0,0
68,72,80,1,0,0,1,0,0,0,0,0,0,1,1
68,65,75,1,1,0,0,0,0,0,0,1,0,0,1
71,68,73,1,1,0,0,0,0,1,0,0,0,1,0
54,41,51,1,1,0,0,0,0,0,0,0,1,1,0
74,72,74,0,0,0,0,1,0,0,0,0,1,0,1
79,79,73,0,1,0,0,0,0,0,0,0,1,1,1
92,88,80,0,0,0,1,0,0,0,0,0,1,1,0
69,68,75,1,0,1,0,0,0,1,0,0,0,1,0
73,72,80,1,0,0,1,0,1,0,0,0,0,1,1
71,73,76,1,0,0,1,0,0,0,0,1,0,1,1
75,76,88,1,1,0,0,0,1,0,0,0,0,0,1
65,61,49,0,0,0,1,0,0,0,0,1,0,0,1
97,94,77,0,1,0,0,0,0,0,1,0,0,0,0
67,64,72,1,0,1,0,0,0,1,0,0,0,1,0
90,93,78,0,0,0,1,0,1,0,0,0,0,0,1
84,76,87,1,0,0,0,1,0,0,0,0,1,1,0
52,54,58,1,0,1,0,0,0,1,0,0,0,1,0
41,38,44,1,1,0,0,0,0,0,0,0,0,0,1
55,63,63,1,0,0,1,0,0,0,0,1,0,1,0
74,74,69,0,0,0,1,0,0,0,0,1,0,1,1
75,71,69,1,0,0,1,0,0,1,0,0,0,1,1
64,74,60,0,0,1,0,0,0,1,0,0,0,1,0
53,43,36,0,0,1,0,0,0,1,0,0,0,0,1
64,64,62,0,0,0,1,0,0,1,0,0,0,1,1
65,64,40,0,0,0,1,0,0,0,0,0,1,0,0
43,41,47,1,1,0,0,0,0,0,0,1,0,1,1
24,23,8,0,1,0,0,0,0,1,0,0,0,0,1
56,51,55,1,0,0,0,1,0,1,0,0,0,0,1
70,70,53,0,1,0,0,0,0,0,0,0,0,0,1
88,85,75,0,0,0,0,1,0,0,0,1,0,0,0
75,77,82,1,0,1,0,0,0,0,0,0,0,1,0
72,65,56,0,0,0,0,1,0,0,1,0,0,0,1
61,54,63,1,0,1,0,0,0,0,0,1,0,0,1
45,40,41,0,0,0,0,1,0,1,0,0,0,0,1
75,82,74,0,0,1,0,0,0,0,0,0,1,1,1
50,51,44,0,0,1,0,0,0,0,0,0,1,0,1
58,60,49,0,0,0,1,0,0,0,0,1,0,0,1
54,57,65,1,1,0,0,0,0,0,0,0,0,1,1
89,84,74,0,0,0,1,0,0,0,0,1,0,1,1
54,55,69,1,1,0,0,0,0,0,0,1,0,1,1
69,70,65,0,0,0,1,0,0,0,0,0,0,1,1
62,62,82,1,0,0,0,1,1,0,0,0,0,1,1
100,100,100,1,0,0,0,1,1,0,0,0,0,1,0
80,81,67,0,1,0,0,0,0,1,0,0,0,0,0
74,77,65,0,0,1,0,0,0,0,0,0,1,1,0
74,76,91,1,0,1,0,0,0,0,0,1,0,1,1
75,70,65,0,1,0,0,0,0,0,0,1,0,0,0
81,77,65,0,0,0,1,0,0,0,0,1,0,0,1
76,75,65,0,0,1,0,0,0,0,0,0,1,0,0
69,65,55,0,0,1,0,0,0,0,0,1,0,1,1
94,95,87,0,0,0,0,1,0,0,0,0,0,1,1
65,62,55,0,0,1,0,0,0,0,0,0,1,0,1
67,64,62,0,0,1,0,0,0,1,0,0,0,0,1
60,57,61,0,0,0,0,0,0,0,0,1,0,0,1
41,48,55,1,0,0,1,0,0,1,0,0,0,1,0
67,69,69,1,0,0,0,0,0,0,0,1,0,1,1
76,78,58,0,1,0,0,0,0,0,1,0,0,0,0
57,52,66,1,0,0,0,1,0,0,0,1,0,1,1
72,70,61,0,1,0,0,0,1,0,0,0,0,1,1
90,82,80,0,0,0,1,0,0,0,0,0,1,1,1
38,32,19,0,1,0,0,0,0,0,0,1,0,1,1
71,65,69,1,0,1,0,0,0,0,0,0,1,0,1
56,53,62,1,0,0,0,1,0,0,0,0,0,1,0
89,86,88,1,0,1,0,0,0,1,0,0,0,1,1
59,62,52,0,0,1,0,0,0,0,0,0,0,1,0
90,84,77,0,1,0,0,0,0,0,1,0,0,1,1
39,34,39,1,0,0,0,0,0,0,0,0,1,0,1
51,56,60,1,0,1,0,0,0,0,0,0,0,0,0
39,34,41,1,1,0,0,0,0,0,0,1,0,0,1
60,59,50,0,0,1,0,0,1,0,0,0,0,0,1
72,79,55,0,0,1,0,0,0,0,0,0,0,1,0
70,67,58,0,0,0,0,0,0,0,0,1,0,1,1
92,89,79,0,0,1,0,0,1,0,0,0,0,1,0
73,70,64,0,0,0,0,1,1,0,0,0,0,1,1
43,43,53,1,0,0,0,0,0,0,0,1,0,1,1
58,54,48,0,0,0,1,0,0,0,0,0,1,1,1
52,43,40,1,0,0,1,0,0,0,0,0,0,1,1
65,69,52,0,1,0,0,0,1,0,0,0,0,1,1
48,52,54,0,0,1,0,0,0,0,0,1,0,1,1
81,81,65,0,1,0,0,0,1,0,0,0,0,1,0
44,36,23,0,1,0,0,0,0,1,0,0,0,0,0
77,74,65,1,0,0,1,0,0,0,0,1,0,1,0
54,53,47,0,0,1,0,0,0,0,0,0,1,1,1
74,66,75,1,0,0,1,0,0,1,0,0,0,0,1
61,52,58,1,0,1,0,0,0,1,0,0,0,0,1
82,81,65,0,0,0,1,0,0,0,0,0,1,1,1
81,74,75,1,0,0,0,0,0,0,0,1,0,0,1
